Entity,latitude,longitude,1960Perc_Urban,1970Perc_Urban,1980Perc_Urban,1990Perc_Urban,2000Perc_Urban,2010Perc_Urban,2017Perc_Urban,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,23.42,53.85,73.50,79.80,80.71,79.05,80.24,84.09,86.25,,,,,,,,,,,,,,,,,,,,
United Kingdom,55.38,-3.44,78.44,77.12,78.48,78.14,78.65,81.30,83.14,,,,,,,,,,,,,,,,,,,,
United States,37.09,-95.71,70.00,73.60,73.74,75.30,79.06,80.77,82.06,,,,,,,,,,,,,,,,,,,,
Uruguay,-32.52,-55.77,80.24,82.37,85.39,88.97,92.03,94.41,95.24,,,,,,,,,,,,,,,,,,,,
Uzbekistan,41.38,64.59,33.98,36.71,40.78,41.37,46.13,50.96,50.55,,,,,,,,,,,,,,,,,,,,
Vanuatu,-15.38,166.96,10.40,12.32,14.74,18.72,21.67,24.46,25.16,,,,,,,,,,,,,,,,,,,,
Venezuela,6.42,-66.59,61.61,71.85,79.19,84.28,87.56,88.08,88.18,,,,,,,,,,,,,,,,,,,,
Vietnam,14.06,108.28,14.70,18.30,19.25,20.26,24.37,30.42,35.21,,,,,,,,,,,,,,,,,,,,
Yemen,15.55,48.52,9.10,13.30,16.53,20.93,26.27,31.78,36.02,,,,,,,,,,,,,,,,,,,,
Zambia,-13.13,27.85,18.14,30.35,39.82,39.41,34.80,39.35,42.98,,,,,,,,,,,,,,,,,,,,
Zimbabwe,-19.02,29.15,12.61,17.36,22.37,28.99,33.76,33.20,32.24,,,,,,,,,,,,,,,,,,,,
